ingestion_time,api_time,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,geo_altitude,on_ground,velocity,speed_kmh,true_track,vertical_rate,squawk,spi,position_source,region,baro_altitude_ft,geo_altitude_ft,altitude_band,aircraft_location_wkt
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,89631d,UAE9814,United Arab Emirates,2026-05-25 13:22:21+00:00,2026-05-25 13:22:21+00:00,90.1295,22.4599,11277.6,12009.12,False,249.37,897.7320000000001,97.11,0.0,,False,0,India,37000.001184,39400.0012608,"10,000-12,000 m",POINT(90.1295 22.4599)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,780a27,HKC9458,China,2026-05-25 13:22:01+00:00,2026-05-25 13:22:01+00:00,91.9529,23.7464,11300.46,12138.66,False,248.75,895.5,102.54,-3.58,,False,0,India,37075.0011864,39825.0012744,"10,000-12,000 m",POINT(91.9529 23.7464)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,800737,AIC4210,India,2026-05-25 13:22:21+00:00,2026-05-25 13:22:21+00:00,68.3922,22.9569,11879.58,12672.06,False,253.79,913.644,92.09,-0.33,6220,False,0,India,38975.0012472,41575.001330399995,"10,000-12,000 m",POINT(68.3922 22.9569)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,89652d,ABY515,United Arab Emirates,2026-05-25 13:22:21+00:00,2026-05-25 13:22:21+00:00,72.5824,23.0667,11574.78,12329.16,False,231.95,835.02,266.44,0.0,4742,False,0,India,37975.001215200005,40450.0012944,"10,000-12,000 m",POINT(72.5824 23.0667)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,770593,ALK265,Sri Lanka,2026-05-25 13:22:21+00:00,2026-05-25 13:22:21+00:00,77.5624,9.3183,10980.42,11666.22,False,253.09,911.124,309.06,5.85,,False,0,India,36025.0011528,38275.0012248,"10,000-12,000 m",POINT(77.5624 9.3183)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,896465,ETD238,United Arab Emirates,2026-05-25 13:22:22+00:00,2026-05-25 13:22:22+00:00,69.3116,17.3161,11277.6,12016.74,False,253.41,912.276,118.23,-0.33,,False,0,India,37000.001184,39425.0012616,"10,000-12,000 m",POINT(69.3116 17.3161)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,8963a1,UAE9878,United Arab Emirates,2026-05-25 13:22:21+00:00,2026-05-25 13:22:22+00:00,91.2108,22.8661,11887.2,12649.2,False,253.83,913.788,87.68,-0.33,,False,0,India,39000.001248,41500.001328000006,"10,000-12,000 m",POINT(91.2108 22.8661)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,781214,CES2036,China,2026-05-25 13:22:20+00:00,2026-05-25 13:22:20+00:00,95.0227,23.3914,10668.0,11369.04,False,239.88,863.568,98.63,0.0,,False,0,India,35000.00112,37300.0011936,"10,000-12,000 m",POINT(95.0227 23.3914)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,8964fb,ETD216,United Arab Emirates,2026-05-25 13:22:21+00:00,2026-05-25 13:22:21+00:00,77.3518,28.3328,2491.74,2537.46,False,128.02,460.87200000000007,118.83,-6.18,,False,0,India,8175.000261599999,8325.0002664,"0-5,000 m",POINT(77.3518 28.3328)
2026-05-25 13:22:38.646455+00:00,2026-05-25 13:22:22+00:00,896615,UAE9772,United Arab Emirates,2026-05-25 13:22:21+00:00,2026-05-25 13:22:21+00:00,68.7868,24.1169,12496.8,13274.04,False,254.69,916.884,91.04,0.0,3105,False,0,India,41000.001312,43550.0013936,"12,000+ m",POINT(68.7868 24.1169)
